Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_1206_3216Metric",113.000000,-86.700000,180.000000,top
"C2","10uF","C_1206_3216Metric",126.700000,-88.000000,0.000000,top
"C3","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",111.500000,-69.100000,180.000000,top
"C4","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",114.700000,-66.040000,180.000000,top
"C5","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",117.100000,-63.900000,180.000000,top
"C6","10uF","C_1206_3216Metric",126.700000,-84.200000,0.000000,top
"J1","Conn_02x03_Odd_Even","PinSocket_2x03_P2.54mm_Vertical_SMD",106.045000,-83.820000,0.000000,top
"J2","Conn_01x05","PinSocket_1x05_P2.54mm_Vertical_SMD_Pin1Left",103.505000,-67.945000,0.000000,top
"LED1","Green","R_0805_2012Metric",138.430000,-82.550000,180.000000,top
"LED2","Green","R_0805_2012Metric",138.430000,-78.740000,180.000000,top
"LED3","Green","R_0805_2012Metric",138.430000,-74.930000,180.000000,top
"R1","10k","R_0603_1608Metric",109.220000,-74.930000,0.000000,top
"R2","1k","R_0603_1608Metric",132.080000,-71.120000,0.000000,top
"R3","1k","R_0603_1608Metric",132.080000,-82.550000,0.000000,top
"R4","1k","R_0603_1608Metric",132.080000,-67.310000,0.000000,top
"R5","1k","R_0603_1608Metric",132.080000,-63.500000,0.000000,top
"R6","1k","R_0603_1608Metric",132.080000,-78.740000,0.000000,top
"R7","1k","R_0603_1608Metric",132.080000,-74.930000,0.000000,top
"RGB1","LED_RGB","FM-Z3535RGBA",139.300000,-67.900000,180.000000,top
"U1","AMS1117","SOT-223-3_TabPin2",119.800000,-86.000000,180.000000,top
"U2","ESP32-PICO-D4","PQFN50P700X700X104-49N",118.110000,-72.390000,0.000000,top
